time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-09-23T05:45:57.960Z,41.2143333,-122.0898333,7.57,1.63,md,15,90,0.0645,0.09,nc,nc72701111,2016-09-23T19:10:03.061Z,"6km SE of McCloud, California",earthquake,0.34,0.73,0.213,14,reviewed,nc,nc
2016-09-23T05:41:39.570Z,37.93,-122.2981667,8.85,1.55,md,62,38,0.02904,0.07,nc,nc72701106,2016-09-23T18:40:01.996Z,"1km NE of El Cerrito, California",earthquake,0.11,0.19,0.194,41,reviewed,nc,nc
2016-09-23T05:34:30.400Z,34.4804,141.9648,10,5.2,mb,,126,2.249,1.09,us,us10006rvp,2016-09-23T14:28:03.000Z,"167km ESE of Ohara, Japan",earthquake,6.7,1.9,0.081,50,reviewed,us,us
2016-09-23T05:19:32.180Z,33.3638333,-116.3013333,12.66,1.07,ml,34,157,0.06636,0.17,ci,ci37697888,2016-09-23T18:03:58.243Z,"14km NNE of Borrego Springs, CA",earthquake,0.33,0.72,0.179,22,reviewed,ci,ci
2016-09-23T05:09:27.810Z,-6.4731,130.4305,130.66,5.1,mb,,33,1.729,0.78,us,us10006rvh,2016-09-23T05:34:01.282Z,"190km NNW of Saumlaki, Indonesia",earthquake,2.7,7.3,0.058,95,reviewed,us,us
2016-09-23T04:39:44.600Z,19.2566662,-155.4380035,34.91,2.32,ml,57,77,0.04275,0.2,hv,hv61421171,2016-09-23T04:45:26.590Z,"7km NE of Pahala, Hawaii",earthquake,0.56,0.76,0.34,14,automatic,hv,hv
2016-09-23T04:22:29.000Z,63.379,-145.2524,3.6,1.5,ml,,,,0.48,ak,ak14016988,2016-09-23T04:37:53.368Z,"55km S of Deltana, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
2016-09-23T04:22:20.656Z,39.2789,-114.7758,10.4,1.4,ml,4,132.15,0.243,0.1076,nn,nn00561113,2016-09-23T15:48:08.322Z,"10km ENE of Ely, Nevada",earthquake,,3.4,0.4,2,reviewed,nn,nn
2016-09-23T03:39:07.010Z,38.8203316,-122.7988358,2.97,1.19,md,19,81,0.01265,0.03,nc,nc72701021,2016-09-23T03:54:02.192Z,"6km W of Cobb, California",earthquake,0.23,0.68,0.09,4,automatic,nc,nc
2016-09-23T03:35:14.090Z,-55.0213,-31.3344,10,4.9,mb,,77,3.084,0.52,us,us10006rus,2016-09-23T04:32:21.040Z,"South Georgia Island region",earthquake,11.3,1.9,0.093,37,reviewed,us,us
2016-09-23T03:28:06.000Z,63.5491,-151.0099,6.7,1.5,ml,13,68.3999945280004,,0.57,ak,ak14016966,2016-09-23T04:13:53.562Z,"104km W of Cantwell, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-09-23T03:11:43.300Z,19.2439995,-155.4348297,33.93,1.85,md,34,97,0.03586,0.16,hv,hv61421066,2016-09-23T03:15:10.150Z,"6km NE of Pahala, Hawaii",earthquake,0.62,0.89,0.16,4,automatic,hv,hv
2016-09-23T02:56:41.500Z,-7.3668,156.3659,10,5.2,mb,,31,4.098,1.1,us,us10006rub,2016-09-23T03:15:13.040Z,"82km SSW of Chirovanga, Solomon Islands",earthquake,6.6,1.8,0.054,114,reviewed,us,us
2016-09-23T02:48:25.000Z,62.158,-150.998,63.7,1.8,ml,6,154.799987616001,,0.22,ak,ak14016513,2016-09-23T04:13:38.406Z,"49km WSW of Talkeetna, Alaska",earthquake,1,1.2,,,automatic,ak,ak
2016-09-23T02:45:26.770Z,33.7553333,-117.7353333,9.98,1.33,ml,36,72,0.02574,0.15,ci,ci37697768,2016-09-23T15:48:22.075Z,"6km E of North Tustin, CA",earthquake,0.2,0.4,0.126,36,reviewed,ci,ci
2016-09-23T02:26:02.170Z,36.3052,141.8226,10,4.5,mb,,157,1.32,0.94,us,us10006ru4,2016-09-23T02:58:32.040Z,"109km NE of Hasaki, Japan",earthquake,8.3,1.9,0.131,17,reviewed,us,us
2016-09-23T02:25:28.000Z,60.1574,-152.88,127.6,2.3,ml,,,,0.4,ak,ak14016497,2016-09-23T02:46:26.829Z,"37km SSW of Redoubt Volcano, Alaska",earthquake,0.5,0.7,,,automatic,ak,ak
2016-09-23T02:24:09.320Z,36.4203,-96.9222,5.52,1.6,ml,,66,0.017,0.23,us,us10006rty,2016-09-23T15:33:38.040Z,"14km NW of Pawnee, Oklahoma",earthquake,1.1,1.4,0.073,25,reviewed,us,us
2016-09-23T02:10:40.660Z,34.448,-120.271,6.69,2.72,ml,29,138,0.05481,0.25,ci,ci37697736,2016-09-23T17:14:18.584Z,"20km SSW of Buellton, CA",earthquake,0.36,0.76,0.106,66,reviewed,ci,ci
2016-09-23T02:10:18.000Z,61.1153,-152.1976,106.7,2.4,ml,,,,0.43,ak,ak14016487,2016-09-23T02:25:21.638Z,"68km NW of Nikiski, Alaska",earthquake,0.9,1.6,,,automatic,ak,ak
